"Category","Description","Price","Manufacturer","QtySold","CarBrand","CarModel","CarYear","Material","Watts","Weight","Type","Quarts","Size","Warranty","Discount_Type","Discount_Qty","Discount_Percentage","Cost"
"Oil","Max Life Motor Oil","30.99","Valvoline","144","","","","","","0W-20","Synthetic Blend","5","","","Bulk","50","10","25.00"
"Oil","Max Life Motor Oil","23.99","Valvoline","87","","","","","","5W-20","Synthetic Blend","5","","","Bulk","50","10","18.99"
"Lights","SilverStar Headlight Bulb","26.99","Sylvania","yyy","Honda","Civic","1993","","60","","","","","","Tiered","50|100","4|8","20.99"
"Brakes","Thermoquiet Disc Brake Pads","26.44","Wagner","76","Honda","Accord","2012","Ceramic","","","","","","","Bulk","50","10","22.99"
"Brakes","Thermoquiet Disc Brake Pads","23.39","Wagner","101","Chrysler","LeBaron","2001","Ceramic","","","","","","","Bulk","50","10","20.99"
"Oil","Mobil Super Motor Oil","7.49","Mobil","313","","","","","","10W-40","Synthetic","1","","","Tiered","100|200","3|6","5.99"
"Brakes","Thermoquiet Disc Brake Pads","22.99","Wagner","53","Toyota","Cmary","2011","Ceramic","","","","","","","Bulk","50","10","18.99"
"Lights","TruVision Headlight Bulb","32.99","Bosch","202","Chevrolet","Camaro","2008","","60","","","","","","Tiered","50|100","5|10","28.99"
"Brakes","Thermoquiet Disc Brake Pads","22.99","Wagner","11","Fiat","500","1995","Ceramic","","","","","","","Bulk","50","10","19.99"
"Oil","Max Life Motor Oil","24.99","Valvoline","76","","","","","","5W-30","Synthetic Blend","5","","","Bulk","50","10","21.99"
"Brakes","Thermoquiet Disc Brake Pads","27.39","Wagner","221","Nissan","Altima","2000","Ceramic","","","","","","","Bulk","50","10","24.99"
"Brakes","Thermoquiet Disc Brake Pads","33.49","Wagner","333","Ford","Explorer","2005","Ceramic","","","","","","","Bulk","50","10","30.99"
"Lights","TruVision Headlight Bulb","32.99","Bosch","172","Chevrolet","Cavalier","2004","","60","","","","","","Tiered","50|100","5|10","29.99"
"Brakes","Thermoquiet Disc Brake Pads","28.39","Wagner","97","GMC","Yukon","1997","Ceramic","","","","","","","Bulk","50","10","25.99"
"Tires","LTX","224.99","Michelin","11","","","","","","","","","P245/70R16","60000","Tiered","25|100","3|6","201.99"
"Tires","LTX","209.99","Michelin","63","","","","","","","","","P225/70R16","60000","Tiered","25|100","3|6","189.99"
"Oil","Max Life Motor Oil","26.99","Valvoline","114","","","","","","10W-40","Synthetic Blend","5","","","Bulk","50","10","23.99"
"Tires","Continental","89.99","Michelin","30","","","","","","","","","P185/65R15","60000","Tiered","25|100","2|4","79.99"
"Lights","XtraVision Headlight Bulb","16.99","Sylvania","136","Ford","Taurus","1989","","55","","","","","","None","","","12.99"
"Tires","Continental","zzz","Michelin","230","","","","","","","","","P175/65R15","60000","Tiered","25|100","2|4","113.99"
"Brakes","Quietcast Disc Brake Pads","29.00","Bosch","203","Nissan","Quest","2012","Organic","","","","","","","Tiered","100|200","5|7","26.99"
